12:53:24.854 [ApplicationImpl pooled thread 130] INFO  c.b.l.BrowserStackRunExtension - testng
12:53:24.855 [ApplicationImpl pooled thread 130] INFO  com.browserstack.utils.Helpers - null
12:53:24.857 [ApplicationImpl pooled thread 130] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:54:02.895 [ApplicationImpl pooled thread 132] INFO  c.b.l.BrowserStackRunExtension - testng
12:54:02.895 [ApplicationImpl pooled thread 132] INFO  com.browserstack.utils.Helpers - null
12:54:02.896 [ApplicationImpl pooled thread 132] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:56:10.956 [ApplicationImpl pooled thread 131] INFO  c.b.l.BrowserStackRunExtension - testng
12:56:10.956 [ApplicationImpl pooled thread 131] INFO  com.browserstack.utils.Helpers - null
12:56:10.959 [ApplicationImpl pooled thread 131] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:57:02.625 [ApplicationImpl pooled thread 135] INFO  c.b.l.BrowserStackRunExtension - testng
12:57:02.625 [ApplicationImpl pooled thread 135] INFO  com.browserstack.utils.Helpers - null
12:57:02.627 [ApplicationImpl pooled thread 135] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:59:19.807 [ApplicationImpl pooled thread 131] INFO  c.b.l.BrowserStackRunExtension - testng
12:59:19.807 [ApplicationImpl pooled thread 131] INFO  com.browserstack.utils.Helpers - null
12:59:19.808 [ApplicationImpl pooled thread 131] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:00:07.567 [ApplicationImpl pooled thread 135] INFO  c.b.l.BrowserStackRunExtension - testng
13:00:07.567 [ApplicationImpl pooled thread 135] INFO  com.browserstack.utils.Helpers - null
13:00:07.569 [ApplicationImpl pooled thread 135] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:02:53.212 [ApplicationImpl pooled thread 140] INFO  c.b.l.BrowserStackRunExtension - testng
13:02:53.212 [ApplicationImpl pooled thread 140] INFO  com.browserstack.utils.Helpers - null
13:02:53.213 [ApplicationImpl pooled thread 140] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:03:53.316 [ApplicationImpl pooled thread 140] INFO  c.b.l.BrowserStackRunExtension - testng
13:03:53.316 [ApplicationImpl pooled thread 140] INFO  com.browserstack.utils.Helpers - null
13:03:53.316 [ApplicationImpl pooled thread 140] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:09:46.317 [ApplicationImpl pooled thread 150] INFO  c.b.l.BrowserStackRunExtension - testng
13:09:46.317 [ApplicationImpl pooled thread 150] INFO  com.browserstack.utils.Helpers - null
13:09:46.318 [ApplicationImpl pooled thread 150] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:10:35.001 [ApplicationImpl pooled thread 147] INFO  c.b.l.BrowserStackRunExtension - testng
13:10:35.001 [ApplicationImpl pooled thread 147] INFO  com.browserstack.utils.Helpers - null
13:10:35.002 [ApplicationImpl pooled thread 147] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:13:57.391 [ApplicationImpl pooled thread 147] INFO  c.b.l.BrowserStackRunExtension - testng
